YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Total,Gender,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2012,2012,MA,Massachusetts,24.6,,Male,"(42.27687047000046, -72.08269067499964)",Male,GEN,MALE
2012,2012,MA,Massachusetts,21.2,,Female,"(42.27687047000046, -72.08269067499964)",Female,GEN,FEMALE
2013,2013,MA,Massachusetts,25.9,,Male,"(42.27687047000046, -72.08269067499964)",Male,GEN,MALE
2013,2013,MA,Massachusetts,21.4,,Female,"(42.27687047000046, -72.08269067499964)",Female,GEN,FEMALE
2014,2014,MA,Massachusetts,23.6,,Male,"(42.27687047000046, -72.08269067499964)",Male,GEN,MALE
2014,2014,MA,Massachusetts,23,,Female,"(42.27687047000046, -72.08269067499964)",Female,GEN,FEMALE
2015,2015,MA,Massachusetts,25.5,,Male,"(42.27687047000046, -72.08269067499964)",Male,GEN,MALE
2015,2015,MA,Massachusetts,23,,Female,"(42.27687047000046, -72.08269067499964)",Female,GEN,FEMALE
2011,2011,MI,Michigan,31.9,,Male,"(44.6613195430005, -84.71439026999968)",Male,GEN,MALE
2011,2011,MI,Michigan,30.7,,Female,"(44.6613195430005, -84.71439026999968)",Female,GEN,FEMALE
2012,2012,MI,Michigan,31.5,,Male,"(44.6613195430005, -84.71439026999968)",Male,GEN,MALE
2012,2012,MI,Michigan,30.6,,Female,"(44.6613195430005, -84.71439026999968)",Female,GEN,FEMALE
2013,2013,MI,Michigan,31.1,,Male,"(44.6613195430005, -84.71439026999968)",Male,GEN,MALE
2013,2013,MI,Michigan,31.9,,Female,"(44.6613195430005, -84.71439026999968)",Female,GEN,FEMALE
2014,2014,MI,Michigan,30.9,,Male,"(44.6613195430005, -84.71439026999968)",Male,GEN,MALE
2014,2014,MI,Michigan,30.6,,Female,"(44.6613195430005, -84.71439026999968)",Female,GEN,FEMALE
2015,2015,MI,Michigan,31.7,,Male,"(44.6613195430005, -84.71439026999968)",Male,GEN,MALE
2015,2015,MI,Michigan,30.6,,Female,"(44.6613195430005, -84.71439026999968)",Female,GEN,FEMALE
2011,2011,MN,Minnesota,28.4,,Male,"(46.35564873600049, -94.79420050299967)",Male,GEN,MALE
2011,2011,MN,Minnesota,22.9,,Female,"(46.35564873600049, -94.79420050299967)",Female,GEN,FEMALE
