YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Age(years),GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2015,2015,CO,Colorado,22.5,35 - 44,"(38.843840757000464, -106.13361092099967)",35 - 44,AGEYR,AGEYR3544
2011,2011,CT,Connecticut,16.1,18 - 24,"(41.56266102000046, -72.64984095199964)",18 - 24,AGEYR,AGEYR1824
2011,2011,CT,Connecticut,23.2,25 - 34,"(41.56266102000046, -72.64984095199964)",25 - 34,AGEYR,AGEYR2534
2011,2011,CT,Connecticut,25.4,35 - 44,"(41.56266102000046, -72.64984095199964)",35 - 44,AGEYR,AGEYR3544
2011,2011,CT,Connecticut,27,45 - 54,"(41.56266102000046, -72.64984095199964)",45 - 54,AGEYR,AGEYR4554
2011,2011,CT,Connecticut,28.6,55 - 64,"(41.56266102000046, -72.64984095199964)",55 - 64,AGEYR,AGEYR5564
2011,2011,CT,Connecticut,23.7,65 or older,"(41.56266102000046, -72.64984095199964)",65 or older,AGEYR,AGEYR65PLUS
2012,2012,CT,Connecticut,9.6,18 - 24,"(41.56266102000046, -72.64984095199964)",18 - 24,AGEYR,AGEYR1824
2012,2012,CT,Connecticut,28.7,25 - 34,"(41.56266102000046, -72.64984095199964)",25 - 34,AGEYR,AGEYR2534
2012,2012,CT,Connecticut,28,35 - 44,"(41.56266102000046, -72.64984095199964)",35 - 44,AGEYR,AGEYR3544
2012,2012,CT,Connecticut,28.8,45 - 54,"(41.56266102000046, -72.64984095199964)",45 - 54,AGEYR,AGEYR4554
2012,2012,CT,Connecticut,27.9,55 - 64,"(41.56266102000046, -72.64984095199964)",55 - 64,AGEYR,AGEYR5564
2012,2012,CT,Connecticut,26.5,65 or older,"(41.56266102000046, -72.64984095199964)",65 or older,AGEYR,AGEYR65PLUS
2013,2013,CT,Connecticut,15.5,18 - 24,"(41.56266102000046, -72.64984095199964)",18 - 24,AGEYR,AGEYR1824
2013,2013,CT,Connecticut,21.5,25 - 34,"(41.56266102000046, -72.64984095199964)",25 - 34,AGEYR,AGEYR2534
2013,2013,CT,Connecticut,28.6,35 - 44,"(41.56266102000046, -72.64984095199964)",35 - 44,AGEYR,AGEYR3544
2013,2013,CT,Connecticut,26.2,45 - 54,"(41.56266102000046, -72.64984095199964)",45 - 54,AGEYR,AGEYR4554
2013,2013,CT,Connecticut,28.4,55 - 64,"(41.56266102000046, -72.64984095199964)",55 - 64,AGEYR,AGEYR5564
2013,2013,CT,Connecticut,26.3,65 or older,"(41.56266102000046, -72.64984095199964)",65 or older,AGEYR,AGEYR65PLUS
2014,2014,CT,Connecticut,11.4,18 - 24,"(41.56266102000046, -72.64984095199964)",18 - 24,AGEYR,AGEYR1824
2014,2014,CT,Connecticut,25,25 - 34,"(41.56266102000046, -72.64984095199964)",25 - 34,AGEYR,AGEYR2534
