YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Total,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2014,2014,ND,North Dakota,32.2,Total,"(47.47531977900047, -100.11842104899966)",Total,OVR,OVERALL
2014,2014,OH,Ohio,32.6,Total,"(40.06021014100048, -82.40426005599966)",Total,OVR,OVERALL
2014,2014,OK,Oklahoma,33,Total,"(35.47203135600046, -97.52107021399968)",Total,OVR,OVERALL
2014,2014,OR,Oregon,27.9,Total,"(44.56744942400047, -120.15503132599969)",Total,OVR,OVERALL
2014,2014,PA,Pennsylvania,30.2,Total,"(40.79373015200048, -77.86070029399963)",Total,OVR,OVERALL
2014,2014,PR,Puerto Rico,28.3,Total,"(18.220833, -66.590149)",Total,OVR,OVERALL
2014,2014,RI,Rhode Island,27,Total,"(41.70828019300046, -71.52247031399963)",Total,OVR,OVERALL
2014,2014,SC,South Carolina,32.1,Total,"(33.998821303000454, -81.04537120699968)",Total,OVR,OVERALL
2014,2014,SD,South Dakota,29.8,Total,"(44.353130053000484, -100.3735306369997)",Total,OVR,OVERALL
2014,2014,TN,Tennessee,31.2,Total,"(35.68094058000048, -85.77449091399967)",Total,OVR,OVERALL
2014,2014,TX,Texas,31.9,Total,"(31.827240407000488, -99.42677020599967)",Total,OVR,OVERALL
2014,2014,UT,Utah,25.7,Total,"(39.360700171000474, -111.58713063499971)",Total,OVR,OVERALL
2014,2014,VT,Vermont,24.8,Total,"(43.62538123900049, -72.51764079099962)",Total,OVR,OVERALL
2014,2014,VA,Virginia,28.5,Total,"(37.54268067400045, -78.45789046299967)",Total,OVR,OVERALL
2014,2014,WA,Washington,27.3,Total,"(47.52227862900048, -120.47001078999972)",Total,OVR,OVERALL
2014,2014,WV,West Virginia,35.7,Total,"(38.66551020200046, -80.71264013499967)",Total,OVR,OVERALL
2014,2014,WI,Wisconsin,31.2,Total,"(44.39319117400049, -89.81637074199966)",Total,OVR,OVERALL
2014,2014,WY,Wyoming,29.5,Total,"(43.23554134300048, -108.10983035299967)",Total,OVR,OVERALL
2015,2015,US,National,28.9,Total,,Total,OVR,OVERALL
2015,2015,AL,Alabama,35.6,Total,"(32.84057112200048, -86.63186076199969)",Total,OVR,OVERALL
2015,2015,AK,Alaska,29.8,Total,"(64.84507995700051, -147.72205903599973)",Total,OVR,OVERALL
2015,2015,AZ,Arizona,28.4,Total,"(34.865970280000454, -111.76381127699972)",Total,OVR,OVERALL
2015,2015,AR,Arkansas,34.5,Total,"(34.74865012400045, -92.27449074299966)",Total,OVR,OVERALL
2015,2015,CA,California,24.2,Total,"(37.63864012300047, -120.99999953799971)",Total,OVR,OVERALL
2015,2015,CO,Colorado,20.2,Total,"(38.843840757000464, -106.13361092099967)",Total,OVR,OVERALL
2015,2015,CT,Connecticut,25.3,Total,"(41.56266102000046, -72.64984095199964)",Total,OVR,OVERALL
2015,2015,DE,Delaware,29.7,Total,"(39.008830667000495, -75.57774116799965)",Total,OVR,OVERALL
2015,2015,DC,District of Columbia,22.1,Total,"(38.89037138500049, -77.03196112699965)",Total,OVR,OVERALL
2015,2015,FL,Florida,26.8,Total,"(28.932040377000476, -81.92896053899966)",Total,OVR,OVERALL
2015,2015,GA,Georgia,30.7,Total,"(32.83968109300048, -83.62758034599966)",Total,OVR,OVERALL
2015,2015,HI,Hawaii,22.7,Total,"(21.304850435000446, -157.85774940299973)",Total,OVR,OVERALL
2015,2015,ID,Idaho,28.6,Total,"(43.682630005000476, -114.3637300419997)",Total,OVR,OVERALL
2015,2015,IL,Illinois,30.8,Total,"(40.48501028300046, -88.99771017799969)",Total,OVR,OVERALL
2015,2015,IN,Indiana,31.3,Total,"(39.766910452000445, -86.14996019399968)",Total,OVR,OVERALL
2015,2015,IA,Iowa,32.1,Total,"(42.46940091300047, -93.81649055599968)",Total,OVR,OVERALL
2015,2015,KS,Kansas,34.2,Total,"(38.34774030000045, -98.20078122699965)",Total,OVR,OVERALL
2015,2015,KY,Kentucky,34.6,Total,"(37.645970271000465, -84.77497104799966)",Total,OVR,OVERALL
2015,2015,LA,Louisiana,36.2,Total,"(31.31266064400046, -92.44568007099969)",Total,OVR,OVERALL
2015,2015,ME,Maine,30,Total,"(45.254228894000505, -68.98503133599962)",Total,OVR,OVERALL
2015,2015,MD,Maryland,28.9,Total,"(39.29058096400047, -76.60926011099963)",Total,OVR,OVERALL
2015,2015,MA,Massachusetts,24.3,Total,"(42.27687047000046, -72.08269067499964)",Total,OVR,OVERALL
2015,2015,MI,Michigan,31.2,Total,"(44.6613195430005, -84.71439026999968)",Total,OVR,OVERALL
2015,2015,MN,Minnesota,26.1,Total,"(46.35564873600049, -94.79420050299967)",Total,OVR,OVERALL
2015,2015,MS,Mississippi,35.6,Total,"(32.745510099000455, -89.53803082499968)",Total,OVR,OVERALL
2015,2015,MO,Missouri,32.4,Total,"(38.635790776000476, -92.56630005299968)",Total,OVR,OVERALL
2015,2015,MT,Montana,23.6,Total,"(47.06652897200047, -109.42442064499971)",Total,OVR,OVERALL
2015,2015,NE,Nebraska,31.4,Total,"(41.6410409880005, -99.36572062299967)",Total,OVR,OVERALL
